selflick,,17.05,19.835,2.785
selflick,,32.5,34.728,2.228
selflick,,39.133,44.409,5.276
selflick,,498.943,503.89,4.947
selflick,,509.043,589.723,80.68
selflick,,592.841,599.682,6.841
allolick,,338.259,339.598,1.339
allogroom,,2.725,7.457,4.732
allogroom,,24.598,26.685,2.087
allogroom,,36.353,41.775,5.422
allogroom,,43.387,45.569,2.182
allogroom,,51.548,56.767,5.219
allogroom,,60.03,71.568,11.538
allogroom,,74.082,75.341,1.259
allogroom,,79.056,81.72,2.664
allogroom,,82.195,84.31,2.115
allogroom,,85.188,94.589,9.401
allogroom,,95.654,98.07,2.416
allogroom,,103.406,105.195,1.789
allogroom,,110.29,113.09,2.8
allogroom,,118.872,119.543,0.671
allogroom,,130.954,132.948,1.994
allogroom,,142.537,149.065,6.528
allogroom,,159.165,162.371,3.206
allogroom,,172.081,172.345,0.264
allogroom,,188.407,189.544,1.137
allogroom,,201.145,214.422,13.277
allogroom,,231.587,235.645,4.058
allogroom,,289.604,298.29,8.686
allogroom,,326.09,338.26,12.17
allogroom,,342.215,359.481,17.266
allogroom,,361.421,363.771,2.35
allogroom,,371.615,375.763,4.148
allogroom,,378.003,392.965,14.962
allogroom,,394.471,420.633,26.162
allogroom,,457.77,458.5,0.73